heart_rate,speed_past_60_seconds,avg_temp,slope,walk
167,19.59036,18,flat,run
145,13.142760000000001,17,down,run
155,14.5485,20,flat,run
142,12.17538,15,down,run
166,17.00076,15,flat,run
141,12.60438,16,up,run
149,12.6429,24,up,run
171,13.90716,17,flat,run
133,13.49538,18,down,run
130,11.07462,18,flat,run
171,15.45444,23,flat,run
77,4.614,17,flat,walk
148,14.65848,17,down,run
168,18.53646,14,flat,run
133,12.06516,15,flat,run
137,20.42897143,24,up,walk
165,15.6882,13,flat,run
162,15.08874,14,down,run
174,18.44934,18,down,run
131,12.13386,22,up,run
171,15.70038,18,down,run
125,10.29608182,21,up,walk
157,15.34554,12,flat,run
169,19.15506,8,down,run
148,12.67842,5,flat,run
181,11.42142,6,down,run
144,11.4819,2,down,run
171,10.53054,4,down,run
140,12.18828,6,flat,run
152,13.47318,5,up,run
148,13.19556,9,flat,run
171,17.0553,10,flat,run
159,10.74,4,flat,run
138,12.6888,5,flat,run
157,12.52584,2,down,run
166,15.50622,3,flat,run
110,3.762,4,flat,walk
162,13.86594,7,flat,run
156,11.46336585,5,flat,walk
156,13.5153931,9,down,walk
153,13.34028,2,up,run
169,16.76286,4,flat,run
94,0,6,flat,walk
145,13.4751,14,up,run
153,14.05914,2,flat,run
170,21.05772,3,down,walk
162,13.71672,17,flat,run
158,12.85296,1,up,run
158,14.24838,0,flat,run
164,14.17728,1,up,run
162,12.79542,8,flat,run
146,12.57408,3,down,run
169,15.13896,6,up,run
159,14.65092,0,flat,run
161,12.20238,-6,flat,run
172,12.99468,-8,flat,run
155,13.25646,1,flat,run
158,12.91026,4,down,run
153,12.45882,14,flat,run
165,14.0328,-6,down,run
163,13.24014,-1,up,run
153,11.26452,-8,down,run
157,12.8661,-6,up,run
162,14.43774,0,up,run
159,14.15742,11,down,run
151,13.10232,3,down,run
167,16.88652,9,up,run
144,12.75288,-1,flat,run
155,12.14922,0,flat,run
166,16.0791,8,flat,run
153,12.11808,3,up,run
159,12.07402759,-4,flat,walk
154,12.30804,1,flat,run
149,15.13362,0,up,run
148,13.94724,-6,flat,run
169,13.63224,4,flat,run
148,11.87244,10,down,run
164,12.6771,8,down,run
164,14.04618,7,flat,run
144,10.97082,2,down,run
153,12.59208,-1,down,run
156,13.58946,1,flat,run
161,13.75656,5,flat,run
153,13.76352,7,up,run
154,12.32775,3,up,walk
163,14.58504,8,flat,run
151,12.68454,4,up,run
146,10.449,9,up,run
154,13.02486,2,flat,run
81,3.762,2,flat,walk
162,13.89204,3,flat,run
140,12.09696429,2,down,walk
167,13.3272,4,flat,run
162,12.44412,4,down,run
164,12.43458,3,down,run
163,14.44626,9,down,run
169,13.3338,9,flat,run
155,11.58432,18,down,run
154,12.64836,16,down,run
163,13.85406,7,flat,run
158,12.2196,13,flat,run
183,15.27036,13,up,run
161,11.9826,25,flat,run
159,13.11336,15,flat,run
166,13.94388,14,flat,run
155,13.24758,15,up,run
176,13.73813333,16,down,walk
164,12.14382,20,down,run
171,14.12634,24,up,run
155,13.8183,34,up,run
136,11.4003,22,up,run
176,14.98668,18,down,run
177,12.04698,22,flat,run
175,14.30364,22,flat,run
163,14.24568,20,down,run
161,11.44452,32,flat,run
161,11.81196,34,flat,run
170,14.5782,26,down,run
142,12.29658,27,flat,run
172,14.82996,24,down,run
163,12.57642,27,down,run
155,11.39694,32,flat,run
114,5.3304,24,flat,walk
146,13.31202,23,up,run
171,13.7523,27,up,run
119,17.5008,23,flat,walk
148,11.80344,26,flat,run
148,13.61172,21,up,run
157,13.90332,22,down,run
169,19.20762,21,down,run
160,14.10564,27,flat,run
144,14.74589189,24,down,walk
168,19.54908,20,flat,run
148,13.34406,25,down,run
184,15.62988,30,flat,run
147,13.09618723,24,flat,walk
165,15.68148,21,flat,run
109,0.0342,28,flat,walk
159,13.7559,30,down,run
166,15.08814,24,flat,run
165,12.88218,27,down,run
150,12.579,28,down,run
148,14.06676,24,down,run
159,17.86698,24,down,run
159,12.8607,28,up,run
157,13.33302,20,flat,run
161,13.12554,23,down,run
164,13.21626,30,flat,run
157,12.44052,27,down,run
164,14.98368,21,flat,run
167,14.54034,19,down,run
163,14.91174,19,flat,run
159,11.95236,20,up,run
163,13.7106,26,flat,run
158,15.00426,25,down,run
150,11.71218,31,flat,run
162,13.13562,17,up,run
144,12.53052,20,down,run
151,13.15128,16,down,run
158,15.0309,16,flat,run
161,12.85854,17,up,run
155,14.97036,17,flat,run
157,13.90842,29,down,run
152,15.64098,12,down,run
177,13.60194,17,flat,run
159,14.34096,15,flat,run
159,13.234680000000001,10,up,run
150,13.0419,13,flat,run
170,15.19548,14,up,run
149,13.30212,9,down,run
156,12.00612,13,flat,run
165,15.91038,9,down,run
139,16.29565714,11,flat,walk
166,13.245,13,up,run
165,14.44512,10,flat,run
152,13.48008,1,down,run
180,16.26408,0,flat,run
154,12.4185,2,up,run
153,12.12138,2,flat,run
166,11.65566,2,flat,run
163,11.91696,6,flat,run
162,13.35756,6,up,run
169,16.2672,0,up,run
159,12.00654,0,up,run
171,13.00488,4,flat,run
